grid80,AtBlckGlz,Balearic,CamBlckGlzA,CamBlckGlzB,CmedPuAm,EbBlckGlz,EbPuAm,EbPuCom,GrItAm,IbAm,IbCom,ItAm,ItCom,MasAm,PuAm,PuCom,SoItVesCaAm
782,0.0,0.0,0.0,0.0,0.0,0.0,275.0,9.42,0.0,0.0,0.0,140.77,0.0,0.0,0.0,0.0,262.29999999999995
783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4
791,0.0,0.0,4.8,0.0,0.0,0.0,110.7,0.0,0.0,0.0,0.0,261.40000000000003,0.0,0.0,0.0,0.0,33.6
792,0.0,0.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0,0.0,0.0,532.3,10.0,0.0,0.0,0.0,129.5
797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.14,0.0
799,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,0.0,0.0,0.0,0.0,0.0,0.0,23.900000000000002,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0
802,0.0,16.700000000000003,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,70.0,41.3,0.0,0.0,0.0,0.0,0.0
803,0.0,0.0,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.6
805,0.0,24.700000000000003,0.0,0.0,0.0,0.0,68.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1
806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7
807,0.0,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,12.58
808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.5,0.0,0.0,0.0,0.0,34.8
