SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
16094b-05-306,530794.31,4388442.49,1.0,0.0,0.0,0.0
16094b-14-001,530792.13,4388464.93,1.0,0.0,0.0,0.0
16094b-14-002,530793.23,4388469.93,1.0,0.0,1.0,0.0
16094b-14-003,530789.24,4388480.35,1.0,0.0,1.0,0.0
16094b-14-004,530790.4,4388490.01,1.0,0.0,0.0,0.0
16094b-14-301,530892.75,4388428.71,1.0,0.0,0.0,0.0
16094b-14-302,530891.6,4388436.03,0.0,1.0,0.0,0.0
16094b-14-303,530899.39,4388441.06,1.0,0.0,0.0,0.0
16094b-14-305,530888.57,4388464.99,1.0,0.0,0.0,0.0
16094b-14-306,530890.43,4388473.32,1.0,0.0,1.0,0.0
16094b-14-310,530787.46,4388452.26,1.0,0.0,0.0,0.0
16094b-33-309,530839.4,4388508.85,1.0,0.0,1.0,0.0
16094b-34-101,530781.13,4388468.44,1.0,0.0,1.0,0.0
16094b-34-102,530783.76,4388477.88,1.0,0.0,1.0,0.0
16094b-34-103,530786.05,4388484.66,1.0,0.0,0.0,0.0
16094b-34-109,530906.89,4388410.45,0.0,0.0,1.0,0.0
16094b-34-110,530910.43,4388405.92,1.0,1.0,1.0,0.0
16094b-34-113,530894.13,4388297.75,1.0,0.0,0.0,0.0
16094b-34-114,530887.57,4388308.49,0.0,0.0,1.0,0.0
16094b-34-301,530882.9,4388424.9,1.0,0.0,0.0,0.0
16094b-34-302,530883.79,4388438.44,0.0,0.0,1.0,0.0
16094b-34-305,530879.05,4388464.39,1.0,0.0,0.0,0.0
16094b-34-306,530878.14,4388476.38,1.0,0.0,0.0,0.0
16094b-34-307,530874.15,4388487.35,1.0,0.0,1.0,0.0
16094b-34-308,530876.79,4388493.02,1.0,1.0,0.0,0.0
16094b-35-102,530753.73,4388434.48,1.0,0.0,0.0,0.0
16094b-35-109,530890.59,4388389.86,1.0,0.0,0.0,0.0
16094b-35-114,530840.11,4388310.97,1.0,0.0,0.0,0.0
16094b-35-302,530851.28,4388434.65,1.0,0.0,0.0,0.0
16094b-35-304,530853.6,4388456.52,1.0,0.0,0.0,0.0
16094b-35-305,530852.79,4388464.73,0.0,0.0,1.0,0.0
16094b-35-306,530851.12,4388474.16,1.0,0.0,0.0,0.0
16094b-35-308,530852.86,4388492.03,1.0,0.0,1.0,0.0
16094b-35-309,530852.13,4388502.35,1.0,0.0,0.0,0.0
16094b-36-101,530769.55,4388469.17,1.0,0.0,0.0,0.0
16094b-36-303,530860.55,4388455.88,1.0,0.0,0.0,0.0
16094b-36-304,530859.22,4388466.31,1.0,0.0,0.0,0.0
16094b-36-305,530859.79,4388473.19,1.0,0.0,0.0,0.0
16094b-37-101,530744.6,4388464.97,1.0,0.0,0.0,0.0
16094b-37-304,530923.53,4388455.14,1.0,0.0,0.0,0.0
16094b-37-314,530807.95,4388479.54,0.0,0.0,1.0,0.0
16094b-37-316,530810.8,4388494.53,1.0,0.0,0.0,0.0
